date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:22	63/63	---M--	200	added ('OK')	text/plain	date:Thu,%2010%20May%202018%2020:14:27%20GMT	https://beesccc.com/robots.txt		(from )
16:12:24	24233/24233	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2021:12:22%20GMT	https://beesccc.com/	./index.html	(from )
16:12:24	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2019%20May%202024%2021:12:24%20GMT	https://beesccc.com/xmlrpc.php	./xmlrpc.php	(from https://beesccc.com/)
16:12:25	1426/1426	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2008:49:21%20GMT	https://beesccc.com/wp-content/plugins/ecwid-shopping-cart/css/frontend.css?ver=5.4.3	./wp-content/plugins/ecwid-shopping-cart/css/frontend00d1.css	(from https://beesccc.com/)
16:12:26	1218/1218	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2008:49:21%20GMT	https://beesccc.com/wp-content/plugins/ecwid-shopping-cart/css/fonts.css?ver=5.4.3	./wp-content/plugins/ecwid-shopping-cart/css/fonts00d1.css	(from https://beesccc.com/)
16:12:27	12230/12230	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202016%2007:37:25%20GMT	https://beesccc.com/wp-content/themes/pure-simple/css/responsive.min.css?ver=3.1.1	./wp-content/themes/pure-simple/css/responsive.minb12b.css	(from https://beesccc.com/)
16:12:28	21987/21987	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202016%2007:37:25%20GMT	https://beesccc.com/wp-content/themes/pure-simple/css/font-awesome.min.css?ver=4.2.0	./wp-content/themes/pure-simple/css/font-awesome.minae82.css	(from https://beesccc.com/)
16:12:29	4200/4200	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2010%20Aug%202017%2009:26:48%20GMT	https://beesccc.com/feed/	./feed/index.html	(from https://beesccc.com/)
16:12:29	721/721	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://beesccc.com/comments/feed/	./comments/feed/index.html	(from https://beesccc.com/)
16:12:29	1477/1477	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202016%2007:37:25%20GMT	https://beesccc.com/wp-content/themes/pure-simple/css/font-opensans.css?ver=1.0.2	./wp-content/themes/pure-simple/css/font-opensans20b9.css	(from https://beesccc.com/)
